Date,Ticker,Price
2016-01-01,HAL,470.4913635253906
2016-01-04,HAL,470.4913635253906
2016-01-05,HAL,470.4913635253906
2016-01-06,HAL,470.4913635253906
2016-01-07,HAL,470.4913635253906
2016-01-08,HAL,470.4913635253906
2016-01-11,HAL,470.4913635253906
2016-01-12,HAL,470.4913635253906
2016-01-13,HAL,470.4913635253906
2016-01-14,HAL,470.4913635253906
2016-01-15,HAL,470.4913635253906
2016-01-18,HAL,470.4913635253906
2016-01-19,HAL,470.4913635253906
2016-01-20,HAL,470.4913635253906
2016-01-21,HAL,470.4913635253906
2016-01-22,HAL,470.4913635253906
2016-01-25,HAL,470.4913635253906
2016-01-27,HAL,470.4913635253906
2016-01-28,HAL,470.4913635253906
2016-01-29,HAL,470.4913635253906
2016-02-01,HAL,470.4913635253906
2016-02-02,HAL,470.4913635253906
2016-02-03,HAL,470.4913635253906
2016-02-04,HAL,470.4913635253906
2016-02-05,HAL,470.4913635253906
2016-02-08,HAL,470.4913635253906
2016-02-09,HAL,470.4913635253906
2016-02-10,HAL,470.4913635253906
2016-02-11,HAL,470.4913635253906
2016-02-12,HAL,470.4913635253906
2016-02-15,HAL,470.4913635253906
2016-02-16,HAL,470.4913635253906
2016-02-17,HAL,470.4913635253906
2016-02-18,HAL,470.4913635253906
2016-02-19,HAL,470.4913635253906
2016-02-22,HAL,470.4913635253906
2016-02-23,HAL,470.4913635253906
2016-02-24,HAL,470.4913635253906
2016-02-25,HAL,470.4913635253906
2016-02-26,HAL,470.4913635253906
2016-02-29,HAL,470.4913635253906
2016-03-01,HAL,470.4913635253906
2016-03-02,HAL,470.4913635253906
2016-03-03,HAL,470.4913635253906
2016-03-04,HAL,470.4913635253906
2016-03-08,HAL,470.4913635253906
2016-03-09,HAL,470.4913635253906
2016-03-10,HAL,470.4913635253906
2016-03-11,HAL,470.4913635253906
2016-03-14,HAL,470.4913635253906
2016-03-15,HAL,470.4913635253906
2016-03-16,HAL,470.4913635253906
2016-03-17,HAL,470.4913635253906
2016-03-18,HAL,470.4913635253906
2016-03-21,HAL,470.4913635253906
2016-03-22,HAL,470.4913635253906
2016-03-23,HAL,470.4913635253906
2016-03-28,HAL,470.4913635253906
2016-03-29,HAL,470.4913635253906
2016-03-30,HAL,470.4913635253906
2016-03-31,HAL,470.4913635253906
2016-04-01,HAL,470.4913635253906
2016-04-04,HAL,470.4913635253906
2016-04-05,HAL,470.4913635253906
2016-04-06,HAL,470.4913635253906
2016-04-07,HAL,470.4913635253906
2016-04-08,HAL,470.4913635253906
2016-04-11,HAL,470.4913635253906
2016-04-12,HAL,470.4913635253906
2016-04-13,HAL,470.4913635253906
2016-04-18,HAL,470.4913635253906
2016-04-20,HAL,470.4913635253906
2016-04-21,HAL,470.4913635253906
2016-04-22,HAL,470.4913635253906
2016-04-25,HAL,470.4913635253906
2016-04-26,HAL,470.4913635253906
2016-04-27,HAL,470.4913635253906
2016-04-28,HAL,470.4913635253906
2016-04-29,HAL,470.4913635253906
2016-05-02,HAL,470.4913635253906
2016-05-03,HAL,470.4913635253906
2016-05-04,HAL,470.4913635253906
2016-05-05,HAL,470.4913635253906
2016-05-06,HAL,470.4913635253906
2016-05-09,HAL,470.4913635253906
2016-05-10,HAL,470.4913635253906
2016-05-11,HAL,470.4913635253906
2016-05-12,HAL,470.4913635253906
2016-05-13,HAL,470.4913635253906
2016-05-16,HAL,470.4913635253906
2016-05-17,HAL,470.4913635253906
2016-05-18,HAL,470.4913635253906
2016-05-19,HAL,470.4913635253906
2016-05-20,HAL,470.4913635253906
2016-05-23,HAL,470.4913635253906
2016-05-24,HAL,470.4913635253906
2016-05-25,HAL,470.4913635253906
2016-05-26,HAL,470.4913635253906
2016-05-27,HAL,470.4913635253906
2016-05-30,HAL,470.4913635253906
2016-05-31,HAL,470.4913635253906
2016-06-01,HAL,470.4913635253906
2016-06-02,HAL,470.4913635253906
2016-06-03,HAL,470.4913635253906
2016-06-06,HAL,470.4913635253906
2016-06-07,HAL,470.4913635253906
2016-06-08,HAL,470.4913635253906
2016-06-09,HAL,470.4913635253906
2016-06-10,HAL,470.4913635253906
2016-06-13,HAL,470.4913635253906
2016-06-14,HAL,470.4913635253906
2016-06-15,HAL,470.4913635253906
2016-06-16,HAL,470.4913635253906
2016-06-17,HAL,470.4913635253906
2016-06-20,HAL,470.4913635253906
2016-06-21,HAL,470.4913635253906
2016-06-22,HAL,470.4913635253906
2016-06-23,HAL,470.4913635253906
2016-06-24,HAL,470.4913635253906
2016-06-27,HAL,470.4913635253906
2016-06-28,HAL,470.4913635253906
2016-06-29,HAL,470.4913635253906
2016-06-30,HAL,470.4913635253906
2016-07-01,HAL,470.4913635253906
2016-07-04,HAL,470.4913635253906
2016-07-05,HAL,470.4913635253906
2016-07-07,HAL,470.4913635253906
2016-07-08,HAL,470.4913635253906
2016-07-11,HAL,470.4913635253906
2016-07-12,HAL,470.4913635253906
2016-07-13,HAL,470.4913635253906
2016-07-14,HAL,470.4913635253906
2016-07-15,HAL,470.4913635253906
2016-07-18,HAL,470.4913635253906
2016-07-19,HAL,470.4913635253906
2016-07-20,HAL,470.4913635253906
2016-07-21,HAL,470.4913635253906
2016-07-22,HAL,470.4913635253906
2016-07-25,HAL,470.4913635253906
2016-07-26,HAL,470.4913635253906
2016-07-27,HAL,470.4913635253906
2016-07-28,HAL,470.4913635253906
2016-07-29,HAL,470.4913635253906
2016-08-01,HAL,470.4913635253906
2016-08-02,HAL,470.4913635253906
2016-08-03,HAL,470.4913635253906
2016-08-04,HAL,470.4913635253906
2016-08-05,HAL,470.4913635253906
2016-08-08,HAL,470.4913635253906
2016-08-09,HAL,470.4913635253906
2016-08-10,HAL,470.4913635253906
2016-08-11,HAL,470.4913635253906
2016-08-12,HAL,470.4913635253906
