Date,BDL.NS,BEL.NS,BEML.NS,COCHINSHIP.NS,HAL.NS,MAZDOCK.NS,^NSEI
2016-01-01,,34.598411560058594,506.22381591796875,,,,
2016-01-04,,34.45507049560547,496.61077880859375,,,,7791.2998046875
2016-01-05,,34.35698699951172,495.0151062011719,,,,7784.64990234375
2016-01-06,,34.03634262084961,488.9825744628906,,,,7741.0
2016-01-07,,32.537479400634766,470.6905517578125,,,,7568.2998046875
2016-01-08,,32.64436340332031,472.7727966308594,,,,7601.35009765625
2016-01-11,,33.46295166015625,476.5673828125,,,,7563.85009765625
2016-01-12,,33.701866149902344,478.14361572265625,,,,7510.2998046875
2016-01-13,,33.69306945800781,473.0452575683594,,,,7562.39990234375
2016-01-14,,32.88703155517578,467.2461853027344,,,,7536.7998046875
2016-01-15,,31.676137924194336,452.5541687011719,,,,7437.7998046875
2016-01-18,,31.063764572143555,434.7874450683594,,,,7351.0
2016-01-19,,31.63966178894043,433.6004638671875,,,,7435.10009765625
2016-01-20,,30.5029354095459,426.7506103515625,,,,7309.2998046875
2016-01-21,,29.475616455078125,417.6240539550781,,,,7276.7998046875
2016-01-22,,30.018823623657227,427.6847229003906,,,,7422.4501953125
2016-01-25,,30.4149169921875,428.7939147949219,,,,7436.14990234375
2016-01-27,,30.32941246032715,422.0219421386719,,,,7437.75
2016-01-28,,30.877655029296875,413.8488464355469,,,,7424.64990234375
2016-01-29,,30.971967697143555,408.4195861816406,,,,7563.5498046875
2016-02-01,,31.019742965698242,407.8747253417969,,,,7555.9501953125
2016-02-02,,30.76323127746582,405.4034729003906,,,,7455.5498046875
2016-02-03,,30.580900192260742,390.4388732910156,,,,7361.7998046875
2016-02-04,,30.76738166809082,387.6756286621094,,,,7404.0
2016-02-05,,31.145397186279297,400.4606018066406,,,,7489.10009765625
2016-02-08,,31.00048828125,403.67144775390625,,,,7387.25
2016-02-09,,30.468767166137695,393.4745788574219,,,,7298.2001953125
2016-02-10,,29.94207000732422,389.54376220703125,,,,7215.7001953125
2016-02-11,,28.326711654663086,377.1868896484375,,,,6976.35009765625
2016-02-12,,28.361988067626953,365.0439758300781,,,,6980.9501953125
2016-02-15,,29.265438079833984,382.6355285644531,,,,7162.9501953125
2016-02-16,,28.13140296936035,373.33380126953125,,,,7048.25
2016-02-17,,28.2271671295166,371.5046081542969,,,,7108.4501953125
2016-02-18,,28.848363876342773,366.0948181152344,,,,7191.75
2016-02-19,,28.470355987548828,378.1208801269531,,,,7210.75
2016-02-22,,29.169673919677734,404.9752502441406,,,,7234.5498046875
2016-02-23,,28.14778709411621,394.85626220703125,,,,7109.5498046875
2016-02-24,,27.49382972717285,395.9654235839844,,,,7018.7001953125
2016-02-25,,26.88649559020996,380.6117858886719,,,,6970.60009765625
2016-02-26,,26.605512619018555,370.80401611328125,,,,7029.75
2016-02-29,,25.955339431762695,367.9629821777344,,,,6987.0498046875
2016-03-01,,26.190963745117188,385.3794250488281,,,,7222.2998046875
2016-03-02,,26.47950553894043,400.67462158203125,,,,7368.85009765625
2016-03-03,,27.094404220581055,406.60986328125,,,,7475.60009765625
2016-03-04,,27.734498977661133,409.9179992675781,,,,7485.35009765625
2016-03-08,,27.370346069335938,411.98077392578125,,,,7485.2998046875
2016-03-09,,27.594636917114258,411.0272521972656,,,,7531.7998046875
2016-03-10,,27.314912796020508,403.9827880859375,,,,7486.14990234375
2016-03-11,,27.387990951538086,403.0098571777344,,,,7510.2001953125
2016-03-14,,27.083059310913086,402.67901611328125,,,,7538.75
2016-03-15,,26.799556732177734,400.9665832519531,,,,7460.60009765625
2016-03-16,,26.84113121032715,401.2000732421875,,,,7498.75
2016-03-17,,27.314912796020508,398.8065185546875,,,,7512.5498046875
2016-03-18,,27.792461395263672,396.1600341796875,,,,7604.35009765625
2016-03-21,,29.6623477935791,415.9505920410156,,,,7704.25
2016-03-22,,30.023969650268555,424.80474853515625,,,,7714.89990234375
2016-03-23,,30.28354263305664,424.5712585449219,,,,7716.5
2016-03-28,,29.42546272277832,410.5018615722656,,,,7615.10009765625
2016-03-29,,29.739200592041016,403.029296875,,,,7597.0
2016-03-30,,30.490175247192383,402.01739501953125,,,,7735.2001953125
2016-03-31,,30.853065490722656,406.35693359375,,,,7738.39990234375
2016-04-01,,30.218019485473633,400.2661437988281,,,,7713.0498046875
2016-04-04,,30.389381408691406,395.654052734375,,,,7758.7998046875
2016-04-05,,29.763147354125977,379.52197265625,,,,7603.2001953125
2016-04-06,,29.524995803833008,366.5813293457031,,,,7614.35009765625
2016-04-07,,29.039886474609375,357.55206298828125,,,,7546.4501953125
2016-04-08,,29.42546272277832,345.6816101074219,,,,7555.2001953125
2016-04-11,,28.997039794921875,343.4242858886719,,,,7671.39990234375
2016-04-12,,29.827404022216797,352.1617431640625,,,,7708.9501953125
2016-04-13,,30.090749740600586,366.4451599121094,,,,7850.4501953125
2016-04-18,,30.39567756652832,370.7262268066406,,,,7914.7001953125
2016-04-20,,30.19407081604004,368.64404296875,,,,7914.75
2016-04-21,,29.4670352935791,363.0396423339844,,,,7912.0498046875
2016-04-22,,29.469558715820312,365.5888671875,,,,7899.2998046875
2016-04-25,,29.535083770751953,357.3184814453125,,,,7855.0498046875
2016-04-26,,30.022706985473633,362.5142822265625,,,,7962.64990234375
2016-04-27,,30.558216094970703,365.51104736328125,,,,7979.89990234375
2016-04-28,,29.829927444458008,357.6493835449219,,,,7847.25
2016-04-29,,29.78330421447754,358.4277038574219,,,,7849.7998046875
2016-05-02,,29.918132781982422,357.4742431640625,,,,7805.89990234375
2016-05-03,,29.63336181640625,356.5596008300781,,,,7747.0
2016-05-04,,28.900022506713867,349.3984069824219,,,,7706.5498046875
2016-05-05,,28.892465591430664,347.5108642578125,,,,7735.5
2016-05-06,,28.78284454345703,339.76593017578125,,,,7733.4501953125
2016-05-09,,29.04366683959961,353.4071044921875,,,,7866.0498046875
2016-05-10,,29.47586441040039,356.7931213378906,,,,7887.7998046875
2016-05-11,,29.168405532836914,355.3141784667969,,,,7848.85009765625
2016-05-12,,29.233930587768555,356.8710021972656,,,,7900.39990234375
2016-05-13,,28.952943801879883,350.1378479003906,,,,7814.89990234375
